
                     TIME        CJC       TC-1       TC-2       TC-3       TC-4       TC-5      Short   Humidity
Mon Oct 08 04:35:43 2018      24.62      22.47      23.16      23.30      23.04      23.01      24.17      67.00
Mon Oct 08 04:36:44 2018      24.64      22.52      23.11      23.27      22.98      23.00      24.19      67.04
Mon Oct 08 04:37:44 2018      24.62      22.57      23.13      23.26      23.01      22.92      24.18      67.04
Mon Oct 08 04:37:44 2018      24.62      22.57      23.13      23.26      23.00      22.93      24.19      67.04
Mon Oct 08 04:38:44 2018      24.62      22.54      23.13      23.25      23.00      22.95      24.19      67.04
Mon Oct 08 04:40:43 2018      24.64      22.53      23.12      23.30      22.97      22.96      24.18      66.99
Mon Oct 08 04:40:44 2018      24.64      22.54      23.12      23.29      22.97      22.97      24.18      66.99
Mon Oct 08 04:41:44 2018      24.61      22.58      23.14      23.30      22.98      22.93      24.20      66.99
Mon Oct 08 04:42:44 2018      24.62      22.45      23.14      23.31      22.97      23.01      24.18      67.00
Mon Oct 08 04:43:44 2018      24.61      22.52      23.15      23.25      22.99      23.01      24.20      66.99
Mon Oct 08 04:44:44 2018      24.62      22.44      23.09      23.28      22.96      22.98      24.21      66.99
Mon Oct 08 04:45:44 2018      24.62      22.54      23.15      23.26      23.01      22.95      24.21      66.99
Mon Oct 08 04:46:44 2018      24.62      22.45      23.14      23.27      22.94      22.94      24.18      67.00
Mon Oct 08 04:47:44 2018      24.62      22.53      23.14      23.31      22.94      22.94      24.20      66.99
Mon Oct 08 04:48:44 2018      24.62      22.48      23.19      23.23      23.02      23.03      24.19      67.04
Mon Oct 08 04:49:44 2018      24.62      22.54      23.15      23.31      22.94      22.91      24.21      66.99
Mon Oct 08 04:50:44 2018      24.62      22.40      23.12      23.27      22.97      23.03      24.19      66.99
Mon Oct 08 04:51:44 2018      24.62      22.46      23.18      23.30      22.99      23.03      24.22      66.99
Mon Oct 08 04:52:44 2018      24.63      22.45      23.14      23.28      22.96      22.99      24.22      67.00
Mon Oct 08 04:53:44 2018      24.64      22.49      23.15      23.29      22.99      22.92      24.23      66.99
Mon Oct 08 04:54:44 2018      24.62      22.53      23.14      23.30      22.96      22.90      24.21      66.98
Mon Oct 08 04:55:44 2018      24.63      22.53      23.15      23.28      22.96      22.91      24.18      66.99
Mon Oct 08 04:56:44 2018      24.61      22.48      23.16      23.27      23.03      23.01      24.17      66.99
Mon Oct 08 04:57:44 2018      24.62      22.44      23.17      23.29      22.99      22.93      24.17      66.99
Mon Oct 08 04:58:44 2018      24.61      22.52      23.18      23.30      23.06      22.92      24.18      66.97
Mon Oct 08 04:59:44 2018      24.61      22.42      23.16      23.28      22.99      23.02      24.19      66.96
Mon Oct 08 05:00:44 2018      24.62      22.53      23.19      23.27      22.99      22.97      24.25      66.93
Mon Oct 08 05:01:44 2018      24.62      22.49      23.14      23.28      22.96      22.99      24.19      66.97
Mon Oct 08 05:02:44 2018      24.62      22.41      23.17      23.27      22.97      22.99      24.17      66.98
Mon Oct 08 05:03:44 2018      24.61      22.40      23.12      23.26      23.00      22.98      24.20      66.94
Mon Oct 08 05:04:44 2018      24.62      22.46      23.13      23.27      23.01      23.04      24.19      66.92
Mon Oct 08 05:05:44 2018      24.62      22.42      23.16      23.26      23.01      23.02      24.19      66.92
Mon Oct 08 05:06:44 2018      24.61      22.43      23.13      23.28      23.00      22.97      24.19      66.91
Mon Oct 08 05:07:44 2018      24.61      22.44      23.14      23.27      22.99      22.99      24.18      66.94
Mon Oct 08 05:08:44 2018      24.63      22.51      23.14      23.32      23.00      22.97      24.18      66.89
Mon Oct 08 05:09:44 2018      24.62      22.49      23.15      23.31      23.00      22.94      24.21      66.90
Mon Oct 08 05:10:44 2018      24.64      22.49      23.12      23.30      22.96      22.95      24.19      66.89
Mon Oct 08 05:11:44 2018      24.61      22.50      23.16      23.30      22.99      22.94      24.17      66.90
Mon Oct 08 05:12:44 2018      24.63      22.55      23.13      23.28      23.00      22.94      24.21      66.86
Mon Oct 08 05:13:44 2018      24.61      22.46      23.16      23.25      23.04      23.05      24.18      66.89
Mon Oct 08 05:14:44 2018      24.62      22.56      23.18      23.26      23.03      23.00      24.20      66.85
Mon Oct 08 05:15:44 2018      24.62      22.56      23.16      23.31      22.98      22.94      24.22      66.89
Mon Oct 08 05:16:44 2018      24.61      22.46      23.15      23.28      22.98      22.96      24.23      66.89
Mon Oct 08 05:17:44 2018      24.63      22.51      23.17      23.28      23.03      22.99      24.18      66.89
Mon Oct 08 05:18:44 2018      24.62      22.56      23.20      23.26      23.06      22.97      24.19      66.88
Mon Oct 08 05:19:44 2018      24.61      22.52      23.22      23.26      23.04      23.05      24.17      66.87
Mon Oct 08 05:20:44 2018      24.62      22.51      23.20      23.32      23.04      23.02      24.23      66.84
Mon Oct 08 05:21:44 2018      24.63      22.44      23.17      23.27      23.03      22.95      24.19      66.88
Mon Oct 08 05:22:44 2018      24.64      22.52      23.12      23.25      23.00      22.98      24.17      66.88
Mon Oct 08 05:23:44 2018      24.65      22.43      23.17      23.27      23.04      23.06      24.20      66.86
Mon Oct 08 05:24:44 2018      24.62      22.53      23.13      23.29      23.01      23.00      24.20      66.85
Mon Oct 08 05:25:44 2018      24.61      22.52      23.17      23.29      22.97      22.92      24.19      66.89
Mon Oct 08 05:26:44 2018      24.61      22.52      23.12      23.30      22.96      22.92      24.20      66.85
Mon Oct 08 05:27:44 2018      24.62      22.46      23.16      23.32      22.99      22.91      24.18      66.85
Mon Oct 08 05:28:44 2018      24.62      22.51      23.16      23.28      23.00      22.92      24.18      66.85
Mon Oct 08 05:29:44 2018      24.62      22.49      23.17      23.28      23.01      22.99      24.19      66.83
Mon Oct 08 05:30:44 2018      24.61      22.51      23.13      23.29      23.03      22.98      24.20      66.85
Mon Oct 08 05:31:44 2018      24.62      22.48      23.15      23.31      22.99      22.90      24.18      66.85
Mon Oct 08 05:32:44 2018      24.61      22.47      23.11      23.30      23.00      22.92      24.18      66.85
Mon Oct 08 05:33:44 2018      24.64      22.50      23.11      23.27      23.02      22.92      24.17      66.77
Mon Oct 08 05:34:44 2018      24.62      22.43      23.10      23.29      22.98      22.94      24.18      66.80
Mon Oct 08 05:35:44 2018      24.62      22.43      23.13      23.23      22.99      23.04      24.14      66.80
Mon Oct 08 05:36:44 2018      24.64      22.45      23.16      23.27      23.00      23.02      24.22      66.81
Mon Oct 08 05:37:44 2018      24.62      22.55      23.13      23.26      23.03      22.92      24.17      66.81
Mon Oct 08 05:38:44 2018      24.61      22.46      23.12      23.27      22.97      22.91      24.18      66.82
Mon Oct 08 05:39:44 2018      24.62      22.45      23.13      23.28      23.00      22.98      24.18      66.80
Mon Oct 08 05:40:44 2018      24.62      22.51      23.17      23.27      23.01      22.98      24.18      66.80
Mon Oct 08 05:41:44 2018      24.63      22.50      23.18      23.29      23.01      22.99      24.21      66.81
Mon Oct 08 05:42:44 2018      24.61      22.46      23.18      23.26      22.99      23.03      24.18      66.80
Mon Oct 08 05:43:44 2018      24.62      22.45      23.12      23.29      23.00      22.90      24.20      66.71
Mon Oct 08 05:44:44 2018      24.63      22.47      23.16      23.28      23.01      23.02      24.22      66.75
Mon Oct 08 05:45:44 2018      24.62      22.56      23.19      23.32      23.06      22.94      24.21      66.75
Mon Oct 08 05:46:44 2018      24.62      22.42      23.14      23.28      23.01      23.00      24.16      66.80
Mon Oct 08 05:47:44 2018      24.62      22.47      23.16      23.32      22.98      22.93      24.20      66.77
Mon Oct 08 05:48:44 2018      24.63      22.51      23.15      23.29      22.98      22.91      24.21      66.75
Mon Oct 08 05:49:44 2018      24.61      22.49      23.13      23.29      22.99      22.96      24.20      66.78
Mon Oct 08 05:50:44 2018      24.61      22.55      23.13      23.28      23.00      22.93      24.20      66.76
Mon Oct 08 05:51:44 2018      24.63      22.44      23.15      23.26      22.98      22.90      24.20      66.79
Mon Oct 08 05:52:44 2018      24.61      22.47      23.16      23.33      23.03      22.93      24.19      66.75
Mon Oct 08 05:53:44 2018      24.61      22.55      23.21      23.31      23.05      22.96      24.21      66.75
Mon Oct 08 05:54:44 2018      24.62      22.46      23.22      23.31      22.99      22.92      24.21      66.75
Mon Oct 08 05:55:44 2018      24.62      22.55      23.19      23.28      23.02      22.93      24.21      66.75
Mon Oct 08 05:56:44 2018      24.61      22.44      23.16      23.29      23.01      22.93      24.18      66.75
Mon Oct 08 05:57:44 2018      24.61      22.51      23.15      23.28      23.06      22.91      24.18      66.74
Mon Oct 08 05:58:44 2018      24.63      22.44      23.14      23.30      23.02      22.93      24.19      66.74
Mon Oct 08 05:59:44 2018      24.62      22.56      23.19      23.28      23.09      22.97      24.20      66.74
Mon Oct 08 06:00:44 2018      24.62      22.44      23.18      23.25      23.02      23.04      24.18      66.70
Mon Oct 08 06:01:44 2018      24.64      22.54      23.14      23.26      23.08      23.00      24.22      66.72
Mon Oct 08 06:02:44 2018      24.61      22.55      23.17      23.26      23.05      22.99      24.21      66.74
Mon Oct 08 06:03:44 2018      24.61      22.52      23.11      23.26      23.05      22.99      24.20      66.67
Mon Oct 08 06:04:44 2018      24.60      22.47      23.17      23.32      22.97      22.92      24.22      66.70
Mon Oct 08 06:05:44 2018      24.62      22.47      23.13      23.28      22.96      22.97      24.21      66.70
Mon Oct 08 06:06:44 2018      24.61      22.46      23.11      23.23      23.01      23.01      24.17      66.70
Mon Oct 08 06:07:44 2018      24.62      22.42      23.14      23.28      22.99      22.99      24.18      66.70
Mon Oct 08 06:08:44 2018      24.62      22.54      23.17      23.28      23.06      23.00      24.18      66.65
Mon Oct 08 06:09:44 2018      24.61      22.42      23.11      23.28      22.99      22.96      24.21      66.67
Mon Oct 08 06:10:44 2018      24.61      22.55      23.17      23.30      22.99      22.94      24.21      66.70
Mon Oct 08 06:11:44 2018      24.62      22.57      23.13      23.27      23.03      22.94      24.16      66.67
Mon Oct 08 06:12:44 2018      24.63      22.48      23.12      23.28      23.04      23.03      24.18      66.64
Mon Oct 08 06:13:44 2018      24.63      22.48      23.16      23.31      22.99      22.98      24.17      66.65
Mon Oct 08 06:14:44 2018      24.63      22.46      23.16      23.27      23.02      22.94      24.18      66.67
Mon Oct 08 06:15:44 2018      24.62      22.44      23.20      23.24      22.99      23.04      24.18      66.66
Mon Oct 08 06:16:44 2018      24.61      22.50      23.20      23.27      23.05      23.01      24.19      66.68
Mon Oct 08 06:17:44 2018      24.61      22.47      23.18      23.28      23.00      23.02      24.17      66.65
Mon Oct 08 06:18:44 2018      24.62      22.47      23.17      23.29      22.98      22.92      24.19      66.65
Mon Oct 08 06:19:44 2018      24.62      22.54      23.12      23.30      23.02      22.95      24.20      66.68
Mon Oct 08 06:20:44 2018      24.61      22.49      23.21      23.33      23.00      22.95      24.18      66.65
Mon Oct 08 06:21:44 2018      24.63      22.47      23.15      23.26      23.07      23.07      24.19      66.65
Mon Oct 08 06:22:44 2018      24.63      22.55      23.17      23.31      23.06      22.93      24.20      66.65
Mon Oct 08 06:23:44 2018      24.61      22.43      23.11      23.30      23.00      22.96      24.16      66.64
Mon Oct 08 06:24:44 2018      24.61      22.40      23.10      23.30      23.00      22.98      24.19      66.60
Mon Oct 08 06:25:44 2018      24.62      22.56      23.16      23.29      23.02      23.00      24.22      66.62
Mon Oct 08 06:26:43 2018      24.63      22.52      23.17      23.31      23.03      23.01      24.23      66.55
Mon Oct 08 06:27:44 2018      24.62      22.51      23.13      23.31      22.96      22.96      24.18      66.60
Mon Oct 08 06:28:44 2018      24.62      22.47      23.14      23.30      23.02      22.99      24.17      66.59
Mon Oct 08 06:28:44 2018      24.62      22.47      23.14      23.30      23.01      22.99      24.17      66.60
Mon Oct 08 06:30:43 2018      24.61      22.42      23.13      23.26      23.02      23.01      24.16      66.55
Mon Oct 08 06:31:44 2018      24.62      22.52      23.13      23.31      23.04      22.93      24.17      66.56
Mon Oct 08 06:32:44 2018      24.63      22.46      23.13      23.26      22.99      22.97      24.15      66.60
Mon Oct 08 06:33:44 2018      24.63      22.56      23.16      23.29      23.02      22.95      24.21      66.59
Mon Oct 08 06:34:44 2018      24.61      22.52      23.12      23.27      23.01      22.94      24.18      66.58
Mon Oct 08 06:35:44 2018      24.63      22.48      23.12      23.28      23.03      22.95      24.19      66.61
Mon Oct 08 06:36:44 2018      24.61      22.52      23.15      23.28      23.02      22.94      24.14      66.56
Mon Oct 08 06:37:44 2018      24.61      22.45      23.16      23.26      23.04      22.99      24.18      66.55
Mon Oct 08 06:38:44 2018      24.64      22.47      23.15      23.28      23.03      23.02      24.14      66.55
Mon Oct 08 06:39:44 2018      24.63      22.52      23.16      23.30      23.04      22.93      24.17      66.58
Mon Oct 08 06:40:44 2018      24.62      22.46      23.17      23.29      23.05      22.99      24.18      66.54
Mon Oct 08 06:41:44 2018      24.62      22.46      23.16      23.27      23.03      23.01      24.18      66.57
Mon Oct 08 06:42:44 2018      24.61      22.44      23.16      23.26      23.06      23.03      24.22      66.55
Mon Oct 08 06:43:44 2018      24.62      22.52      23.15      23.27      23.03      22.99      24.20      66.55
Mon Oct 08 06:44:44 2018      24.62      22.51      23.20      23.26      23.02      22.97      24.20      66.55
Mon Oct 08 06:45:44 2018      24.61      22.48      23.12      23.31      22.99      22.97      24.22      66.53
Mon Oct 08 06:46:44 2018      24.62      22.47      23.13      23.28      23.04      22.98      24.19      66.59
Mon Oct 08 06:47:44 2018      24.61      22.55      23.14      23.30      23.03      22.94      24.21      66.50
Mon Oct 08 06:48:44 2018      24.62      22.45      23.10      23.28      23.04      22.95      24.17      66.55
Mon Oct 08 06:49:44 2018      24.62      22.55      23.15      23.30      23.08      22.98      24.20      66.54
Mon Oct 08 06:50:44 2018      24.63      22.47      23.13      23.29      22.97      22.96      24.17      66.49
Mon Oct 08 06:51:44 2018      24.62      22.53      23.15      23.31      23.02      23.00      24.20      66.50
Mon Oct 08 06:52:44 2018      24.61      22.53      23.10      23.31      23.00      22.90      24.19      66.51
Mon Oct 08 06:53:44 2018      24.61      22.57      23.13      23.27      23.03      22.98      24.21      66.55
Mon Oct 08 06:54:44 2018      24.61      22.49      23.14      23.26      23.02      23.03      24.17      66.50
Mon Oct 08 06:55:44 2018      24.61      22.53      23.14      23.30      23.08      22.98      24.17      66.50
Mon Oct 08 06:56:44 2018      24.61      22.55      23.13      23.31      23.05      22.95      24.16      66.51
Mon Oct 08 06:57:44 2018      24.63      22.47      23.12      23.29      23.03      22.92      24.17      66.49
Mon Oct 08 06:58:44 2018      24.61      22.47      23.12      23.29      23.02      22.93      24.15      66.50
Mon Oct 08 06:59:44 2018      24.61      22.47      23.10      23.29      23.02      22.96      24.18      66.45
Mon Oct 08 07:00:44 2018      24.62      22.51      23.13      23.32      23.04      22.98      24.24      66.51
Mon Oct 08 07:01:44 2018      24.63      22.44      23.11      23.28      23.00      22.98      24.17      66.51
Mon Oct 08 07:02:44 2018      24.61      22.43      23.15      23.25      23.05      23.04      24.19      66.50
Mon Oct 08 07:03:44 2018      24.61      22.56      23.16      23.26      23.03      22.95      24.16      66.46
Mon Oct 08 07:04:44 2018      24.60      22.53      23.13      23.31      23.02      22.91      24.20      66.50
Mon Oct 08 07:05:44 2018      24.65      22.47      23.15      23.28      23.05      23.02      24.18      66.46
Mon Oct 08 07:06:44 2018      24.61      22.44      23.10      23.29      23.03      22.96      24.19      66.42
Mon Oct 08 07:07:44 2018      24.61      22.50      23.15      23.28      23.00      22.93      24.20      66.41
Mon Oct 08 07:08:44 2018      24.62      22.52      23.13      23.29      23.06      22.93      24.16      66.46
Mon Oct 08 07:09:44 2018      24.61      22.53      23.13      23.32      23.02      22.90      24.18      66.46
Mon Oct 08 07:10:44 2018      24.61      22.50      23.14      23.27      23.00      22.97      24.20      66.38
Mon Oct 08 07:11:44 2018      24.62      22.49      23.15      23.25      23.06      22.98      24.17      66.46
Mon Oct 08 07:12:44 2018      24.62      22.49      23.13      23.28      23.04      22.97      24.19      66.47
Mon Oct 08 07:13:44 2018      24.62      22.49      23.11      23.30      23.00      22.97      24.18      66.48
Mon Oct 08 07:14:44 2018      24.62      22.49      23.10      23.27      23.03      22.98      24.18      66.48
Mon Oct 08 07:15:44 2018      24.61      22.47      23.13      23.28      23.06      22.95      24.17      66.42
Mon Oct 08 07:16:44 2018      24.61      22.50      23.09      23.28      23.04      22.95      24.19      66.46
Mon Oct 08 07:17:44 2018      24.62      22.50      23.11      23.27      23.04      22.97      24.17      66.46
Mon Oct 08 07:18:44 2018      24.62      22.45      23.09      23.27      22.99      22.92      24.17      66.38
Mon Oct 08 07:19:44 2018      24.61      22.46      23.06      23.26      23.04      23.01      24.19      66.41
Mon Oct 08 07:20:44 2018      24.62      22.48      23.14      23.26      23.02      23.02      24.18      66.35
Mon Oct 08 07:21:44 2018      24.62      22.49      23.14      23.25      23.01      23.00      24.21      66.41
Mon Oct 08 07:22:44 2018      24.62      22.52      23.15      23.29      23.03      22.99      24.22      66.41
Mon Oct 08 07:23:44 2018      24.62      22.44      23.08      23.31      23.05      22.97      24.17      66.41
Mon Oct 08 07:24:44 2018      24.60      22.43      23.14      23.25      23.00      22.94      24.17      66.41
Mon Oct 08 07:25:44 2018      24.62      22.45      23.13      23.28      22.97      22.97      24.17      66.33
Mon Oct 08 07:26:44 2018      24.61      22.56      23.13      23.29      23.02      22.95      24.20      66.36
Mon Oct 08 07:27:44 2018      24.61      22.47      23.13      23.27      23.04      23.01      24.19      66.41
Mon Oct 08 07:28:44 2018      24.61      22.51      23.15      23.26      23.01      23.00      24.19      66.41
Mon Oct 08 07:29:44 2018      24.62      22.49      23.14      23.29      23.00      22.90      24.17      66.35
Mon Oct 08 07:30:44 2018      24.63      22.42      23.15      23.28      23.00      22.99      24.19      66.36
Mon Oct 08 07:31:44 2018      24.62      22.50      23.12      23.30      22.98      22.92      24.21      66.33
Mon Oct 08 07:32:44 2018      24.62      22.56      23.10      23.32      23.03      22.96      24.18      66.36
Mon Oct 08 07:33:44 2018      24.62      22.48      23.09      23.28      23.03      23.00      24.21      66.36
Mon Oct 08 07:34:44 2018      24.62      22.50      23.11      23.31      23.01      22.95      24.17      66.35
Mon Oct 08 07:35:44 2018      24.62      22.49      23.11      23.25      23.00      22.95      24.17      66.35
Mon Oct 08 07:36:44 2018      24.62      22.50      23.12      23.28      22.98      22.96      24.19      66.34
Mon Oct 08 07:37:44 2018      24.63      22.55      23.13      23.30      23.01      22.96      24.17      66.36
Mon Oct 08 07:38:44 2018      24.62      22.47      23.13      23.26      22.99      22.96      24.15      66.31
Mon Oct 08 07:39:44 2018      24.61      22.51      23.09      23.28      23.00      22.98      24.17      66.35
Mon Oct 08 07:40:44 2018      24.61      22.51      23.10      23.28      22.94      22.96      24.19      66.36
Mon Oct 08 07:41:44 2018      24.62      22.50      23.10      23.27      22.99      22.96      24.18      66.33
Mon Oct 08 07:42:44 2018      24.62      22.46      23.10      23.28      22.98      22.98      24.21      66.29
Mon Oct 08 07:43:44 2018      24.62      22.49      23.10      23.27      23.00      22.98      24.20      66.25
Mon Oct 08 07:44:44 2018      24.61      22.47      23.12      23.28      22.95      22.92      24.14      66.26
Mon Oct 08 07:45:44 2018      24.62      22.51      23.12      23.30      22.96      22.98      24.19      66.30
Mon Oct 08 07:46:44 2018      24.61      22.47      23.10      23.29      22.98      22.96      24.15      66.31
Mon Oct 08 07:47:44 2018      24.61      22.44      23.09      23.28      22.97      22.97      24.19      66.26
Mon Oct 08 07:48:44 2018      24.61      22.46      23.12      23.28      23.00      23.01      24.18      66.29
Mon Oct 08 07:49:44 2018      24.61      22.49      23.12      23.32      22.97      22.94      24.18      66.27
Mon Oct 08 07:50:44 2018      24.61      22.57      23.11      23.27      23.05      23.01      24.19      66.26
Mon Oct 08 07:51:44 2018      24.64      22.59      23.11      23.32      23.04      22.97      24.18      66.31
Mon Oct 08 07:52:44 2018      24.62      22.58      23.11      23.32      23.04      22.93      24.22      66.31
Mon Oct 08 07:53:44 2018      24.61      22.58      23.11      23.29      23.03      22.95      24.19      66.27
Mon Oct 08 07:54:44 2018      24.63      22.51      23.11      23.31      22.99      22.93      24.19      66.31
Mon Oct 08 07:55:44 2018      24.62      22.47      23.11      23.26      23.04      23.05      24.17      66.26
Mon Oct 08 07:56:44 2018      24.62      22.50      23.11      23.32      23.02      22.90      24.16      66.30
Mon Oct 08 07:57:44 2018      24.61      22.47      23.12      23.29      22.98      22.99      24.18      66.26
Mon Oct 08 07:58:44 2018      24.61      22.51      23.15      23.28      23.03      23.01      24.21      66.31
Mon Oct 08 07:59:44 2018      24.61      22.49      23.13      23.31      23.00      22.94      24.19      66.31
Mon Oct 08 08:00:44 2018      24.61      22.46      23.10      23.28      23.03      23.02      24.20      66.29
Mon Oct 08 08:01:44 2018      24.62      22.45      23.14      23.25      23.03      22.98      24.18      66.31
Mon Oct 08 08:02:44 2018      24.61      22.53      23.15      23.30      23.03      22.97      24.17      66.31
Mon Oct 08 08:03:44 2018      24.61      22.46      23.12      23.29      23.05      23.00      24.14      66.31
Mon Oct 08 08:04:44 2018      24.62      22.58      23.11      23.30      23.03      22.96      24.17      66.29
Mon Oct 08 08:05:44 2018      24.61      22.51      23.11      23.28      23.07      22.99      24.18      66.31
Mon Oct 08 08:06:44 2018      24.62      22.58      23.12      23.29      23.02      22.93      24.17      66.28
Mon Oct 08 08:07:44 2018      24.62      22.49      23.10      23.28      23.04      22.98      24.16      66.31
Mon Oct 08 08:08:44 2018      24.61      22.51      23.12      23.29      22.99      22.97      24.19      66.27
Mon Oct 08 08:09:44 2018      24.63      22.49      23.09      23.26      23.03      22.97      24.17      66.30
Mon Oct 08 08:10:44 2018      24.61      22.49      23.13      23.29      23.02      22.99      24.20      66.31
Mon Oct 08 08:11:44 2018      24.62      22.50      23.09      23.27      23.05      23.04      24.17      66.31
Mon Oct 08 08:12:44 2018      24.61      22.56      23.10      23.29      23.03      22.92      24.20      66.31
Mon Oct 08 08:13:44 2018      24.62      22.52      23.12      23.26      23.01      22.95      24.18      66.27
Mon Oct 08 08:14:44 2018      24.61      22.49      23.07      23.23      23.00      22.94      24.19      66.32
Mon Oct 08 08:15:44 2018      24.63      22.50      23.09      23.26      22.98      22.96      24.16      66.36
Mon Oct 08 08:16:44 2018      24.62      22.51      23.05      23.26      23.02      22.92      24.19      66.31
Mon Oct 08 08:17:43 2018      24.63      22.49      23.09      23.25      23.03      22.95      24.20      66.31
Mon Oct 08 08:18:44 2018      24.63      22.49      23.10      23.26      23.04      22.95      24.20      66.31
Mon Oct 08 08:19:44 2018      24.61      22.52      23.14      23.29      23.05      22.96      24.19      66.31
Mon Oct 08 08:21:43 2018      24.62      22.56      23.14      23.28      23.01      22.95      24.16      66.31
Mon Oct 08 08:21:44 2018      24.62      22.55      23.13      23.28      23.01      22.95      24.16      66.31
Mon Oct 08 08:22:44 2018      24.63      22.52      23.11      23.30      22.97      22.92      24.17      66.31
Mon Oct 08 08:23:44 2018      24.61      22.48      23.07      23.29      23.00      22.98      24.14      66.31
Mon Oct 08 08:24:44 2018      24.62      22.48      23.09      23.26      23.00      22.95      24.18      66.31
Mon Oct 08 08:25:44 2018      24.62      22.50      23.09      23.26      23.01      22.96      24.17      66.31
Mon Oct 08 08:26:44 2018      24.62      22.52      23.07      23.27      23.02      22.95      24.14      66.29
Mon Oct 08 08:27:44 2018      24.61      22.50      23.11      23.25      23.05      22.98      24.22      66.26
Mon Oct 08 08:28:44 2018      24.61      22.49      23.09      23.28      23.04      22.97      24.18      66.30
Mon Oct 08 08:29:44 2018      24.61      22.53      23.12      23.31      23.01      22.95      24.18      66.30
Mon Oct 08 08:30:44 2018      24.61      22.51      23.12      23.31      22.97      22.96      24.19      66.31
Mon Oct 08 08:31:44 2018      24.62      22.51      23.11      23.31      23.00      22.90      24.19      66.31
Mon Oct 08 08:32:44 2018      24.61      22.47      23.13      23.28      22.98      22.96      24.14      66.26
Mon Oct 08 08:33:44 2018      24.61      22.44      23.11      23.27      22.98      22.97      24.17      66.25
Mon Oct 08 08:34:44 2018      24.61      22.46      23.10      23.29      23.00      23.01      24.24      66.26
Mon Oct 08 08:35:44 2018      24.61      22.55      23.10      23.28      23.04      22.92      24.17      66.27
Mon Oct 08 08:36:44 2018      24.63      22.55      23.07      23.26      23.03      22.93      24.17      66.26
Mon Oct 08 08:37:44 2018      24.62      22.47      23.12      23.24      23.03      23.05      24.21      66.22
Mon Oct 08 08:38:44 2018      24.62      22.49      23.10      23.26      23.02      23.01      24.17      66.20
Mon Oct 08 08:39:44 2018      24.61      22.51      23.12      23.28      23.03      22.92      24.18      66.26
Mon Oct 08 08:40:44 2018      24.61      22.51      23.10      23.29      23.00      22.88      24.17      66.26
Mon Oct 08 08:41:44 2018      24.61      22.44      23.09      23.25      23.03      22.99      24.18      66.21
Mon Oct 08 08:42:44 2018      24.63      22.47      23.12      23.25      23.03      22.96      24.17      66.16
Mon Oct 08 08:43:44 2018      24.61      22.52      23.10      23.24      22.99      22.91      24.16      66.20
Mon Oct 08 08:44:44 2018      24.62      22.42      23.08      23.21      22.96      22.99      24.16      66.18
Mon Oct 08 08:45:44 2018      24.61      22.46      23.08      23.22      23.02      22.96      24.20      66.21
Mon Oct 08 08:46:44 2018      24.62      22.44      23.11      23.29      22.98      22.93      24.18      66.11
Mon Oct 08 08:47:44 2018      24.62      22.45      23.12      23.25      23.01      22.95      24.15      66.15
Mon Oct 08 08:48:44 2018      24.61      22.45      23.10      23.24      22.99      22.95      24.19      66.16
Mon Oct 08 08:49:44 2018      24.61      22.48      23.09      23.25      23.03      23.01      24.14      66.16
Mon Oct 08 08:50:44 2018      24.62      22.47      23.08      23.26      23.01      22.96      24.18      66.11
Mon Oct 08 08:51:44 2018      24.63      22.44      23.11      23.28      23.00      22.98      24.20      66.14
Mon Oct 08 08:52:44 2018      24.61      22.44      23.06      23.23      23.04      23.00      24.19      66.02
Mon Oct 08 08:53:44 2018      24.62      22.51      23.12      23.25      23.03      22.98      24.18      66.05
Mon Oct 08 08:54:44 2018      24.61      22.48      23.13      23.29      23.00      22.96      24.20      66.11
Mon Oct 08 08:55:44 2018      24.61      22.48      23.10      23.28      23.00      22.92      24.20      66.11
Mon Oct 08 08:56:44 2018      24.61      22.45      23.13      23.25      22.99      22.96      24.14      66.01
Mon Oct 08 08:57:44 2018      24.63      22.51      23.13      23.28      23.07      22.93      24.21      66.04
Mon Oct 08 08:58:44 2018      24.61      22.50      23.08      23.28      23.02      22.96      24.16      66.10
Mon Oct 08 08:59:44 2018      24.62      22.43      23.03      23.26      23.00      23.00      24.17      66.00
Mon Oct 08 09:00:44 2018      24.62      22.52      23.07      23.28      22.97      22.91      24.18      66.06
Mon Oct 08 09:01:44 2018      24.61      22.46      23.09      23.27      23.00      23.00      24.15      66.05
Mon Oct 08 09:02:44 2018      24.61      22.46      23.07      23.26      22.94      22.92      24.18      65.98
Mon Oct 08 09:03:44 2018      24.63      22.53      23.11      23.24      23.03      22.93      24.19      66.05
Mon Oct 08 09:04:44 2018      24.61      22.57      23.13      23.28      23.02      22.97      24.20      65.93
Mon Oct 08 09:05:44 2018      24.61      22.42      23.09      23.26      23.00      22.93      24.17      65.96
Mon Oct 08 09:06:44 2018      24.61      22.45      23.05      23.29      22.99      22.92      24.15      66.02
Mon Oct 08 09:07:44 2018      24.62      22.49      23.11      23.26      23.03      22.96      24.16      66.00
Mon Oct 08 09:08:44 2018      24.62      22.45      23.07      23.26      23.01      22.97      24.16      65.97
Mon Oct 08 09:09:44 2018      24.62      22.47      23.05      23.25      22.96      22.88      24.16      65.98
Mon Oct 08 09:10:44 2018      24.61      22.53      23.09      23.24      23.02      22.96      24.14      65.96
Mon Oct 08 09:11:44 2018      24.61      22.55      23.10      23.26      23.02      22.96      24.16      65.92
Mon Oct 08 09:12:44 2018      24.62      22.51      23.12      23.31      23.00      22.91      24.21      65.91
